Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
101	:	1759167308.846	    85.903	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal100 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal100.out 2> timings_z1.0/gal100.time
86	:	1759167279.598	   115.586	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal85 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal85.out 2> timings_z1.0/gal85.time
98	:	1759167306.483	    91.726	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal97 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal97.out 2> timings_z1.0/gal97.time
85	:	1759167268.342	   132.828	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal84 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal84.out 2> timings_z1.0/gal84.time
93	:	1759167298.606	   102.592	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal92 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal92.out 2> timings_z1.0/gal92.time
140	:	1759167364.196	    39.626	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal139 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal139.out 2> timings_z1.0/gal139.time
119	:	1759167335.840	    68.108	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal118 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal118.out 2> timings_z1.0/gal118.time
42	:	1759167211.579	   194.324	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal41 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal41.out 2> timings_z1.0/gal41.time
90	:	1759167296.465	   110.203	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal89 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal89.out 2> timings_z1.0/gal89.time
112	:	1759167327.127	    81.218	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal111 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal111.out 2> timings_z1.0/gal111.time
142	:	1759167366.851	    41.556	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal141 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal141.out 2> timings_z1.0/gal141.time
128	:	1759167348.503	    60.769	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal127 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal127.out 2> timings_z1.0/gal127.time
